nama_fasilitas,jenis_fasilitas,latitude,longitude,provinsi,kota_kabupaten
Kimia Farma,pharmacy,-6.2130914,106.8128884,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.1660771,106.8466276,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.1653136,106.8462896,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Teratai,clinic,-6.163414,106.8422441,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati Putih,clinic,-6.1644957,106.8482637,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 07,clinic,-6.1620114,106.8472507,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kantil,clinic,-6.1623523,106.8484562,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.162863,106.8417115,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Century,pharmacy,-6.176903,106.801146,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,dentist,-6.2788845,106.7755592,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.1789559,106.8360604,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1863629,106.8962218,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1859262,106.8970682,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek II,clinic,-6.2101987,106.8981345,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 05,clinic,-6.2098701,106.8980279,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.1607246,106.8419388,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kemala RW 06,clinic,-6.189386,106.9062559,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.1994482,106.8129551,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.1994719,106.8191993,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Soka,clinic,-6.2010805,106.8190096,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.1985816,106.8167766,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2052099,106.814081,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Aster II,clinic,-6.3456626,106.8766335,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Permata Ibu,clinic,-6.354333,106.8832532,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Aster 01,clinic,-6.3453127,106.8755631,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1606122,106.8617211,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kamboja,clinic,-6.2212215,106.7271061,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.3351837,106.8345231,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar I,clinic,-6.20876,106.8996136,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati III,clinic,-6.1963787,106.9040876,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1531699,106.8057621,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik KTA - Srengseng Junction,clinic,-6.2094582,106.7590174,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Teratai,clinic,-6.1866224,106.8787814,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Nusa Indah,clinic,-6.186609,106.8787773,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cemara,clinic,-6.1860327,106.8778453,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek Bulan,clinic,-6.1855398,106.8833343,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.189109,106.8831143,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Apotek Kimia Farma,pharmacy,-6.144715,106.7004365,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati II,clinic,-6.3332586,106.879604,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia II,clinic,-6.3402477,106.8742409,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek I,clinic,-6.1581384,106.8579253,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Jeruk,clinic,-6.2893564,106.8392121,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cerry,clinic,-6.2844277,106.8400878,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Belimbing 2,clinic,-6.2801818,106.8400246,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Lansia Ersa Gemilang,clinic,-6.2801061,106.8421716,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Apel I,clinic,-6.2801066,106.842135,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kemuning,clinic,-6.270233,106.8103755,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kuncup Harapan,clinic,-6.152134,106.690409,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kemuning,clinic,-6.1577475,106.6972902,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Lansia,clinic,-6.1632601,106.8721802,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wijaya Kusuma,clinic,-6.1663189,106.8708765,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Alamanda,clinic,-6.1613352,106.8709871,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1636899,106.868616,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.2031976,106.7796018,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 05,clinic,-6.1585394,106.8362876,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang 2,clinic,-6.2823664,106.8335068,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Budi Asih,clinic,-6.2672705,106.8805327,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik dan Apotek Putewa,clinic,-6.2199714,106.9389653,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga I,clinic,-6.1011108,106.7044002,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Parkit,clinic,-6.3245425,106.8459115,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Tidak bernama,clinic,-6.1277525,106.9099518,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.2009122,106.8701463,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2037545,106.8065993,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2092458,106.8099586,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2063896,106.8042895,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1943251,106.8087645,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Matahari,clinic,-6.1566975,106.8398255,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bindu,clinic,-6.3426199,106.8154113,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Semangka I,clinic,-6.3455,106.8106082,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pesona,clinic,-6.3346542,106.85796,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Seruni,clinic,-6.3341553,106.8424759,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.3192974,106.874892,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Athifa,clinic,-6.2795991,106.8348674,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.2769333,106.8325122,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bougenvile,clinic,-6.1658733,106.8331684,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Puspa Hati,clinic,-6.2045533,106.8701808,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati VIII,clinic,-6.2081481,106.8607685,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 08,clinic,-6.132933,106.6915476,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.2669896,106.8484649,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pepaya,clinic,-6.2685446,106.8407388,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar RW 06,clinic,-6.2792659,106.8372841,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kemala,clinic,-6.2712212,106.8453353,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kasih Ibu,clinic,-6.1536287,106.8320712,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.153556,106.8302386,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kasih Ibu,clinic,-6.1555801,106.8276376,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1554404,106.8312109,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka Mas II,clinic,-6.1548628,106.8296004,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1568051,106.8291865,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.3075993,106.832092,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.1479092,106.7972096,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bahari IV,clinic,-6.27809,106.7930299,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.2768933,106.7949334,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.2659741,106.7904233,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 012,clinic,-6.1576702,106.8102582,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 013,clinic,-6.1586332,106.8092296,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Teratai,clinic,-6.1424218,106.8292502,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Semangka,clinic,-6.3030154,106.8041391,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia Mekar II,clinic,-6.3413045,106.862588,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati I,clinic,-6.3328338,106.8666402,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Rose I,clinic,-6.3501464,106.868155,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Tanjung II,clinic,-6.3390725,106.8812237,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Apel,clinic,-6.2901458,106.8202926,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Flamboyan I,clinic,-6.1252484,106.7160791,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Nangka,clinic,-6.2949384,106.8180597,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Rumah Bersalin Muhammadiyah,hospital,-6.8775282,107.5766801,Jawa Barat,Kota Bandung
Apotek K-24,pharmacy,-6.8800922,107.5764442,Jawa Barat,Kota Bandung
Posyandu Cempaka,clinic,-6.166125,106.8509038,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Siloam,hospital,-6.5955895,106.8049335,Jawa Barat,Kota Bogor
Posyandu Bougenvile,clinic,-6.151404,106.8192567,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.1545021,106.8210118,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Gerakan Sayang Ibu,clinic,-6.1555468,106.819424,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.1593435,106.8271822,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Soka,clinic,-6.1551048,106.8252142,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Seruni,clinic,-6.1564061,106.8252765,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1590515,106.8247676,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 03,clinic,-6.1534969,106.8234919,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.329777,106.8640686,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 011,clinic,-6.3295124,106.8585902,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.1788709,106.7775835,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati III RW 07,clinic,-6.3218744,106.8681356,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sawitri RW 03,clinic,-6.2274671,106.9114004,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Ubi Kencana,clinic,-6.1420269,106.8190598,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka IV,clinic,-6.1599162,106.7688261,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wijaya Kusuma,clinic,-6.1649584,106.8292798,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.3109637,106.8587364,Daerah Khusus Ibukota Jakarta,DKI Jakarta
APOTIK MELAWAI KEMANG,pharmacy,-6.2550098,106.8096242,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posbindu Melur,clinic,-6.2809597,106.7989719,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wahyu,clinic,-6.2737131,106.7950097,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Permata Bunda I,clinic,-6.3557255,106.8786472,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati II,clinic,-6.1565355,106.7310023,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Lavender,clinic,-6.1606516,106.7366409,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Tunas Harapan,clinic,-6.1623156,106.7443013,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik pratama Aisyah,clinic,-6.1546044,106.8168697,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek RW 01,clinic,-6.1538753,106.8153329,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.15158,106.8121585,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek Neli Murni RW 02/5,clinic,-6.1482858,106.8140206,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 03,clinic,-6.1499116,106.812248,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga RW 04,clinic,-6.1499532,106.8141574,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kamboja RW 01,clinic,-6.1491712,106.8121123,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek,clinic,-6.1153727,106.876508,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bahari,clinic,-6.1203909,106.8713723,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1156774,106.8782505,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.1163261,106.8773516,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 09,clinic,-6.114319,106.8794056,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sayang Ibu,clinic,-6.1182684,106.8696802,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Salpa Krida Posyandu,clinic,-6.1106589,106.8919851,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.1159121,106.8730437,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Teratai Putih,clinic,-6.1136539,106.8805635,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bougenville RW 05,clinic,-6.1468991,106.8138751,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati I,clinic,-6.3114241,106.88058,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.3318316,106.8456037,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar 6A,clinic,-6.129832,106.8917229,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar 1,clinic,-6.1156768,106.8809015,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar IV,clinic,-6.1287566,106.8842268,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar VIII,clinic,-6.1286926,106.8862438,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang Lampung II,clinic,-6.2259269,106.7567099,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang Lilin,clinic,-6.2311849,106.7546842,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang Kepok,clinic,-6.2305603,106.7565483,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.2555613,106.7986501,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar RW 05,clinic,-6.1775396,106.7807867,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 07,clinic,-6.1665076,106.7252885,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Catalia,clinic,-6.1630702,106.7909103,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.236342,106.8170911,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2363466,106.8171163,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Kelurahan Pinangsia,clinic,-6.1339784,106.8152913,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1378613,106.819023,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Seruni,clinic,-6.1402621,106.8167089,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.142047,106.8223862,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati RW 02,clinic,-6.1171289,106.8784118,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Tunas Harapan I-IV,clinic,-6.3594902,106.8776413,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 06,clinic,-6.3516458,106.8909847,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 07,clinic,-6.1229321,106.8813729,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1226975,106.8776178,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 05,clinic,-6.1405548,106.7172217,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 03,clinic,-6.1498699,106.7264834,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 011,clinic,-6.1360452,106.725432,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 015,clinic,-6.1400881,106.7248499,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 08,clinic,-6.1309328,106.7288089,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 07,clinic,-6.1438563,106.7242049,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek RW 11,clinic,-6.1596275,106.7857146,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sayang Ibu,clinic,-6.1637153,106.7885594,Daerah Khusus Ibukota Jakarta,DKI Jakarta
PKBN Cluster A,clinic,-6.0975515,106.9641087,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Sehati,clinic,-6.149736,106.8196549,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Manggis,clinic,-6.2432041,106.7871925,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Al Ihsan,clinic,-6.1319456,107.2722043,Jawa Barat,Bekasi
Posyandu Soka,clinic,-6.2489459,106.7850454,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1166902,106.8897494,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar,clinic,-6.1148794,106.8889086,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Bidan Delima,doctors,-6.2747208,107.2621856,Jawa Barat,Bekasi
Klinik,clinic,-6.275152,107.2611811,Jawa Barat,Bekasi
Rumah Sakit Asshofwan,hospital,-6.2681267,107.2495182,Jawa Barat,Bekasi
Posyandu Sekar Arum,clinic,-6.3326745,106.8853801,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka,clinic,-6.346643,106.8855578,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek RW 06,clinic,-6.3485776,106.8831787,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sedia Malam,clinic,-6.1465284,106.732564,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati I & II,clinic,-6.1519686,106.737628,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 02,clinic,-6.1518833,106.7309117,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.1544007,106.7332935,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Unit RW 08,clinic,-6.1454404,106.7313315,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati RW 09,clinic,-6.1459017,106.7357987,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Seruni,clinic,-6.1434136,106.7381001,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Wijaya Kusuma,clinic,-6.1228495,106.8852568,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar Putih,clinic,-6.1191175,106.908026,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 014,clinic,-6.1242583,106.9193867,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 03,clinic,-6.1238296,106.9103217,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik As-Syifa,clinic,-6.227076,107.044584,Jawa Barat,Bekasi
Puskesmas Karangsatria,clinic,-6.2227911,107.0360398,Jawa Barat,Bekasi
Rumah Sakit Pinna Tambun,hospital,-6.2237664,107.0322284,Jawa Barat,Bekasi
Posyandu Lansia,clinic,-6.2552828,106.7677105,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Selada I,clinic,-6.2579605,106.7631197,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kangkung I,clinic,-6.2821327,106.7643499,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cemara,clinic,-6.1195158,106.915207,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 010,clinic,-6.1235935,106.912508,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Pembantu,clinic,-6.5480941,106.821958,Jawa Barat,Kota Bogor
Klinik Ibnu Sina,clinic,-6.5931183,106.7916054,Jawa Barat,Kota Bogor
Posyandu Melati RW 07,clinic,-6.1375422,106.8424852,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1400976,106.840591,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1399234,106.8400116,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Puskesmas Kayumanis,clinic,-6.5297272,106.7684365,Jawa Barat,Kota Bogor
Posyandu RW 05,clinic,-6.1564955,106.7665992,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Bunga,clinic,-6.1549554,106.7485285,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kenanga,clinic,-6.1288033,106.8820556,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dahlia,clinic,-6.239564,106.7849499,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Sedap Malam,clinic,-6.2469079,106.7832328,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Nusa Indah 1 & 2,clinic,-6.3110544,106.8728113,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1414277,106.8440404,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Melati,clinic,-6.1398487,106.8432739,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang Lampung,clinic,-6.2186865,106.7936714,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Anggrek II,clinic,-6.2347345,106.7734248,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Alamanda,clinic,-6.2377495,106.7555492,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Flamboyan I,clinic,-6.2403656,106.7503681,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu,clinic,-6.2476125,106.753736,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang Raja,clinic,-6.2199256,106.7893135,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dewi Sartika,clinic,-6.2624891,106.7921305,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Klinik Kimia Farma,clinic,-6.2557489,106.7903709,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar III,clinic,-6.1157988,106.8843884,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kencana I,clinic,-6.2530573,106.7936184,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Dian II,clinic,-6.2517682,106.7889192,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Soka,clinic,-6.2287081,106.7804901,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 03,clinic,-6.1613006,106.7742859,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 04,clinic,-6.1560798,106.7723762,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 10,clinic,-6.157707,106.778324,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 07,clinic,-6.1531752,106.7780644,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Pisang Kepok,clinic,-6.2175709,106.7909213,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Semangka,clinic,-6.2600654,106.7569767,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Mawar II,clinic,-6.2555963,106.761826,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Manggis,clinic,-6.2654266,106.7544481,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Apel III,clinic,-6.2537658,106.7604465,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Cempaka I,clinic,-6.2510343,106.7549798,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu Kacang Panjang 1-2,clinic,-6.2633009,106.7741328,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 01,clinic,-6.1427736,106.7688543,Daerah Khusus Ibukota Jakarta,DKI Jakarta
Posyandu RW 07,clinic,-6.1120257,106.8914889,Daerah Khusus Ibukota Jakarta,DKI Jakarta
